AUC,Classifier,Distribution
0.5858865449000924,RandomForestClassifier,"[1724, 3291, 5241]"
0.5640047240420623,RandomForestClassifier,"[1822, 1829, 5241]"
0.5752090869484459,RandomForestClassifier,"[2693, 3994, 5241]"
0.5729270057360103,RandomForestClassifier,"[2507, 3479, 5241]"
0.5490510849220207,LinearDiscriminantAnalysis,"[1735, 1953, 5241]"
0.533501085583199,LinearDiscriminantAnalysis,"[963, 1650, 5241]"
0.5771263867724358,RandomForestClassifier,"[2459, 2702, 5241]"
0.5439312736912967,GaussianNB,"[761, 1401, 5241]"
0.5860046400081091,RandomForestClassifier,"[1937, 3117, 5241]"
0.5412872277590279,GaussianNB,"[1066, 1867, 5241]"
0.5891875158768856,GaussianNB,"[968, 3947, 5241]"
0.5791051697565358,RandomForestClassifier,"[1881, 2934, 5241]"
0.5660203436597471,LinearDiscriminantAnalysis,"[807, 2815, 5241]"
0.5889303822875213,RandomForestClassifier,"[2106, 3533, 5241]"
0.5713989750868537,RandomForestClassifier,"[2563, 3583, 5241]"
0.5458084604413835,LinearDiscriminantAnalysis,"[1538, 1845, 5241]"
0.5545487049277104,LinearDiscriminantAnalysis,"[835, 2540, 5241]"
0.5483778328756913,GaussianNB,"[639, 1331, 5241]"
0.5487457232902597,GaussianNB,"[3546, 3601, 5241]"
0.5861305626461077,RandomForestClassifier,"[1610, 3262, 5241]"
0.5832498036692197,RandomForestClassifier,"[1390, 3883, 5241]"
0.5698677513382677,RandomForestClassifier,"[985, 2954, 5241]"
0.5801015962710225,RandomForestClassifier,"[2337, 2828, 5241]"
0.5857326970562703,RandomForestClassifier,"[1568, 3327, 5241]"
0.5675623957892069,GaussianNB,"[3326, 3811, 5241]"
0.5737326301747053,RandomForestClassifier,"[2159, 2781, 5241]"
0.5548852983499662,LinearDiscriminantAnalysis,"[532, 2359, 5241]"
0.5792009293225915,RandomForestClassifier,"[2104, 2861, 5241]"
0.5402294532949503,MLPClassifier,"[741, 1210, 5241]"
0.5448493974507868,GaussianNB,"[576, 1347, 5241]"
0.5511539414513463,RandomForestClassifier,"[1724, 1927, 5241]"
0.5854027603458499,RandomForestClassifier,"[2357, 3612, 5241]"
0.5961729241825391,RandomForestClassifier,"[1666, 3693, 5241]"
0.550616296279738,RandomForestClassifier,"[1731, 1955, 5241]"
0.5435551177774678,GaussianNB,"[506, 1292, 5241]"
0.5720823114414358,GaussianNB,"[716, 3549, 5241]"
0.5796798963793042,RandomForestClassifier,"[1160, 3183, 5241]"
0.5308383353432048,LinearDiscriminantAnalysis,"[997, 1227, 5241]"
0.5903854913693232,RandomForestClassifier,"[1626, 3939, 5241]"
0.5699931863189942,RandomForestClassifier,"[2460, 3529, 5241]"
0.5503542682982917,LinearDiscriminantAnalysis,"[1520, 2180, 5241]"
0.5742918485106318,RandomForestClassifier,"[2070, 2556, 5241]"
0.5490535600480873,GaussianNB,"[638, 1211, 5241]"
0.5792174099959746,RandomForestClassifier,"[2385, 3551, 5241]"
0.5464337138461489,GaussianNB,"[793, 1484, 5241]"
0.5332769096802992,GaussianNB,"[854, 1526, 5241]"
0.5417603484900907,GaussianNB,"[3547, 3649, 5241]"
0.5488290357052855,GaussianNB,"[856, 2450, 5241]"
0.5299926471526651,LinearDiscriminantAnalysis,"[1193, 1204, 5241]"
0.5698801272537287,GaussianNB,"[652, 3446, 5241]"
