model,yeast-0-2-5-6_vs_3-7-8-9,segment0,flare-F,ecoli-0_vs_1,abalone-3_vs_11,Average
GM,0.691656759213931,0.7130370452214475,0.7964367898748741,0.7999434069043577,0.9554413024850043,0.7913030607399228
IF,0.721309182460312,0.8544180203637028,0.7633215878038256,0.840973401245048,0.9877892030848329,0.8335622789915442
OCSVM,0.7206273165955661,0.7727350244638256,0.8017941895584639,0.747453310696095,0.9957155098543273,0.8076650702336556
