model,yeast-0-2-5-6_vs_3-7-8-9,segment0,flare-F,ecoli-0_vs_1,abalone-3_vs_11,Average
GM,0.691656759213931,0.7130682705264346,0.7964367898748741,0.7999434069043577,0.9554413024850043,0.7913093058009203
IF,0.7290719630743409,0.7762586800342998,0.7876635984467136,0.8172043010752689,0.9916452442159382,0.8203687573693124
OCSVM,0.7602804391915519,0.6841296186429482,0.7596181504386595,0.7461799660441426,0.9811482433590403,0.7862712835352685
