model,abalone-17_vs_7-8-9-10,segment0,kr-vs-k-one_vs_fifteen,kr-vs-k-zero_vs_fifteen,poker-8-9_vs_5,abalone-20_vs_8-9-10,shuttle-c0-vs-c4,car-vgood,car-good,abalone-19_vs_10-11-12-13,winequality-red-4,poker-8-9_vs_6,yeast6,yeast5,yeast4,yeast3,yeast1,winequality-white-3-9_vs_5,poker-8_vs_6,kr-vs-k-zero_vs_eight,flare-F,yeast-0-2-5-7-9_vs_3-6-8,yeast-0-2-5-6_vs_3-7-8-9,vowel0,yeast-1-2-8-9_vs_7,winequality-white-3_vs_7,winequality-red-8_vs_6-7,vehicle3,vehicle2,vehicle1,vehicle0,pimaImb,abalone9-18,yeast-1-4-5-8_vs_7,winequality-red-3_vs_5,wisconsinImb,winequality-red-8_vs_6,abalone-21_vs_8,yeast-0-5-6-7-9_vs_4,yeast-2_vs_4,yeast-0-3-5-9_vs_7-8,abalone-3_vs_11,yeast-2_vs_8,page-blocks-1-3_vs_4,yeast-1_vs_7,led7digit-0-2-4-5-6-7-8-9_vs_1,dermatology-6,ecoli4,ecoli3,ecoli2,ecoli1,ecoli-0-1-4-7_vs_2-3-5-6,ecoli-0-1-4-7_vs_5-6,habermanImb,ecoli-0-1-3-7_vs_2-6,ecoli-0-1-4-6_vs_5,ecoli-0-3-4-7_vs_5-6,poker-9_vs_7,ecoli-0-1_vs_2-3-5,ecoli-0-1_vs_5,shuttle-6_vs_2-3,ecoli-0-2-6-7_vs_3-5,ecoli-0-6-7_vs_3-5,ecoli-0_vs_1,ecoli-0-6-7_vs_5,new-thyroid2,new-thyroid1,glass6,glass5,glass4,glass2,glass1,glass0,glass-0-1-2-3_vs_4-5-6,glass-0-1-4-6_vs_2,ecoli-0-3-4-6_vs_5,ecoli-0-4-6_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-3-4_vs_5,glass-0-1-6_vs_2,glass-0-1-6_vs_5,cleveland-0_vs_4,glass-0-1-5_vs_2,winequality-white-9_vs_4,iris0,lymphography-normal-fibrosis,shuttle-c2-vs-c4,glass-0-6_vs_5,zoo-3,glass-0-4_vs_5,Average
LODA,0.542858505,0.746666699,0.710775645,0.709257275,0.526920732,0.577050265,0.917131698,0.529814922,0.537096664,0.511792453,0.622916426,0.574101027,0.839393566,0.652455357,0.555863121,0.638730806,0.503934478,0.809699571,0.711867756,0.782081621,0.739195311,0.707497028,0.765368208,0.736014392,0.594020009,0.761097301,0.568869936,0.565783178,0.530670422,0.531458647,0.657409097,0.633586449,0.614365066,0.569418239,0.709558824,0.986815132,0.635154062,0.694561509,0.656020942,0.830525606,0.573901099,0.997857755,0.642107046,0.57106274,0.582236842,0.753793103,0.852546296,0.75719246,0.819345238,0.542065112,0.718698028,0.699378882,0.724081633,0.645529514,0.842922374,0.701021635,0.802432432,0.880070547,0.845095694,0.790127841,0.71875,0.630355846,0.861764706,0.833050368,0.7171875,0.885416667,0.832589286,0.897473561,0.592334495,0.882608696,0.572054528,0.504654655,0.666925466,0.923854962,0.568517575,0.812077703,0.774828767,0.703448276,0.797309028,0.65965689,0.580678314,0.64296875,0.558933002,0.584615385,0.7640625,0.692982456,0.824915825,0.500904159,0.697368421,0.554112554,0.694062939
LOF,0.794944222,0.580562488,0.508460064,0.573379496,0.78472561,0.860714286,0.511275632,0.586834876,0.512434062,0.657861635,0.681410479,0.79880137,0.551306545,0.537748016,0.583827376,0.50017466,0.549621406,0.788412017,0.697839831,0.559388882,0.512314828,0.570319603,0.502412756,0.734873104,0.679172351,0.862571023,0.552132196,0.574227093,0.557894857,0.526379296,0.502718879,0.571623832,0.806632569,0.52177673,0.794577206,0.643580857,0.509943978,0.885209713,0.605628272,0.617520216,0.529876374,0.517352185,0.551913957,0.67631242,0.595151072,0.596870027,0.596296296,0.51860119,0.551785714,0.593854088,0.621683694,0.665838509,0.690816327,0.660633681,0.752511416,0.551081731,0.671891892,0.970017637,0.64354067,0.570667614,0.977272727,0.729847495,0.567647059,0.569185059,0.648046875,0.720734127,0.719742063,0.570211516,0.697735192,0.680745342,0.541869523,0.567567568,0.625,0.572137405,0.503056546,0.595861486,0.738013699,0.52112069,0.682725694,0.522966242,0.833504625,0.53984375,0.50248139,0.686538462,0.5434375,0.995614035,0.96969697,0.86437613,0.799342105,0.757575758,0.643575843
HBOS,0.670140875,0.667105823,0.994536791,0.999862611,0.505518293,0.633994709,0.99991107,0.732706767,0.585510721,0.593427673,0.522038727,0.541523973,0.720186737,0.898896329,0.705623365,0.535521432,0.506064071,0.865579399,0.588645943,0.688213559,0.789892852,0.808264564,0.717331632,0.906607861,0.62033879,0.808948864,0.518336887,0.624581306,0.646551724,0.595375723,0.588993102,0.694117991,0.636913601,0.548624214,0.653262868,0.982420176,0.631652661,0.806542244,0.589757853,0.804481132,0.53643544,0.988431877,0.723577236,0.796734955,0.567373294,0.870397878,0.720833333,0.830357143,0.637574405,0.519716343,0.620099786,0.802573203,0.852244898,0.604947917,0.796347032,0.901742788,0.799189189,0.649029982,0.866626794,0.912286932,0.982244318,0.827523602,0.847426471,0.830786644,0.846484375,0.827876984,0.852678571,0.828730905,0.632404181,0.82484472,0.696445959,0.558933934,0.69076087,0.88721374,0.643148242,0.848817568,0.882277397,0.893103448,0.88671875,0.609297178,0.731757451,0.9828125,0.603287841,0.588461538,0.64375,0.99122807,0.96969697,0.737793852,0.671052632,0.781385281,0.739149659
MCD,0.889290141,0.695651756,1,0.931470338,0.717957317,0.921858466,0.992766995,0.66064199,0.595053778,0.708962264,0.619066867,0.581763699,0.628743991,0.747867063,0.624607672,0.564092861,0.524218286,0.841587983,0.597207587,0.710300162,0.717819646,0.68665641,0.610095112,0.843682297,0.573442474,0.870028409,0.515565032,0.56632004,0.656374502,0.594157598,0.50447064,0.68078271,0.864323819,0.559198113,0.755974265,0.986372686,0.518627451,0.959662854,0.675,0.771832884,0.60260989,0.986718081,0.780487805,0.930345711,0.596247563,0.509761273,0.999074074,0.91889881,0.512276786,0.753841195,0.531242575,0.800709849,0.824081633,0.707508681,0.82283105,0.860576923,0.816891892,0.978835979,0.835526316,0.877840909,0.846590909,0.806463326,0.766176471,0.767968308,0.816796875,0.842757937,0.877728175,0.962690952,0.735191638,0.863975155,0.549172347,0.620720721,0.755745342,0.965648855,0.516046867,0.884290541,0.859589041,0.866810345,0.888454861,0.528500277,0.790339157,0.84921875,0.532258065,0.767307692,0.5609375,0.956140351,0.976430976,0.759493671,0.592105263,0.87012987,0.749838704
AvgBagging,0.79532561,0.607423456,0.8068332,0.518176572,0.867926829,0.871759259,0.625113942,0.51959225,0.549811605,0.682830189,0.65781268,0.815753425,0.506933317,0.574007937,0.599149956,0.506564297,0.543759413,0.826781116,0.703174394,0.580520613,0.587677981,0.540142667,0.51332261,0.756712318,0.65313779,0.867098722,0.523560768,0.572085478,0.542702752,0.509980579,0.504409815,0.569369159,0.800362976,0.536320755,0.816176471,0.703222476,0.526890756,0.893036323,0.614267016,0.649326146,0.511950549,0.605398458,0.524728997,0.76453265,0.586379142,0.545676393,0.522222222,0.53422619,0.52827381,0.535833244,0.609170824,0.663354037,0.675918367,0.587196181,0.76347032,0.582932692,0.665945946,0.972663139,0.674342105,0.661931818,0.961647727,0.726579521,0.5875,0.568902094,0.6296875,0.770337302,0.734623016,0.535840188,0.716898955,0.776397516,0.536027264,0.557207207,0.675621118,0.656870229,0.521650535,0.551097973,0.724315068,0.548706897,0.760850694,0.51134477,0.843782117,0.571875,0.513027295,0.748076923,0.5571875,0.995614035,0.96969697,0.884267631,0.697368421,0.783549784,0.655241688
MaxBagging,0.792059973,0.594083045,0.878497106,0.701082626,0.754893293,0.808763228,0.560150292,0.522802198,0.562964993,0.650440252,0.652307811,0.821746575,0.564618513,0.631547619,0.594420227,0.504650317,0.514219737,0.796223176,0.672023182,0.547245402,0.672371638,0.549968529,0.525342681,0.775785361,0.670873124,0.890181108,0.515138593,0.531564021,0.51166598,0.500971052,0.525090325,0.564871495,0.801132926,0.525628931,0.797794118,0.630735197,0.515966387,0.861328517,0.619437173,0.650673854,0.501648352,0.738431877,0.540735095,0.787323944,0.57334308,0.565941645,0.514583333,0.548115079,0.591220238,0.595895562,0.606953354,0.611357587,0.736326531,0.580815972,0.821917808,0.700420673,0.583108108,0.953262787,0.695574163,0.678977273,0.935369318,0.678830792,0.589338235,0.578947368,0.64453125,0.698164683,0.680803571,0.555229142,0.717770035,0.865838509,0.535053554,0.567417417,0.686801242,0.761068702,0.527763627,0.635135135,0.805222603,0.597198276,0.736545139,0.500830105,0.864337102,0.559375,0.517990074,0.601923077,0.5403125,0.989035088,0.95959596,0.857142857,0.809210526,0.729437229,0.660149235
IForest,0.741812071,0.840059184,0.998845932,0.999945044,0.643262195,0.701421958,0.999814728,0.521847889,0.604370761,0.579654088,0.580725257,0.609332192,0.679495871,0.886681548,0.728879686,0.549537879,0.515143769,0.834463519,0.537737092,0.705318221,0.768355386,0.79454857,0.713476467,0.956631074,0.626421101,0.857333097,0.567270789,0.613248836,0.607455237,0.553269976,0.526209506,0.669684579,0.710498818,0.57822327,0.786534926,0.988053978,0.640616246,0.916716837,0.643193717,0.806334232,0.582348901,0.989502999,0.774390244,0.875800256,0.609405458,0.599522546,0.688888889,0.808779762,0.582589286,0.561083056,0.596499564,0.799112689,0.81244898,0.662109375,0.79086758,0.833233173,0.803513514,0.944444444,0.846291866,0.901633523,0.957386364,0.808278867,0.787132353,0.846349745,0.8171875,0.855406746,0.890625,0.856051704,0.660278746,0.90621118,0.64459591,0.540840841,0.734782609,0.885496183,0.57615894,0.8125,0.797945205,0.833189655,0.836371528,0.588267847,0.755395683,0.90703125,0.566997519,0.784615385,0.535,1,0.973063973,0.72875226,0.825657895,0.794372294,0.746120387
CBLOF,0.724983314,0.521066272,0.824386203,1,0.647408537,0.745965608,0.538458688,0.577447224,0.518757279,0.542672956,0.629441429,0.722688356,0.529643782,0.612673611,0.719420227,0.504941416,0.506891382,0.814978541,0.607810854,0.792938099,0.732471595,0.578379607,0.623854815,0.851284432,0.588278763,0.807972301,0.561513859,0.596501056,0.586870907,0.563704478,0.548228167,0.660922897,0.693614915,0.555267296,0.714613971,0.965120566,0.543697479,0.807746338,0.653010471,0.710714286,0.625137363,0.996358183,0.809620596,0.776440461,0.589912281,0.571087533,0.529166667,0.558035714,0.508035714,0.609648652,0.633483805,0.725288376,0.770612245,0.641015625,0.744292237,0.5234375,0.722432432,0.972663139,0.575657895,0.610795455,0.996448864,0.721132898,0.583823529,0.637521222,0.6609375,0.771825397,0.868055556,0.653055229,0.524390244,0.907453416,0.652385589,0.513663664,0.725,0.885496183,0.566989302,0.682010135,0.735873288,0.638362069,0.710069444,0.565578307,0.887975334,0.7171875,0.578163772,0.709615385,0.616875,0.953947368,0.96969697,0.927667269,0.842105263,0.818181818,0.688232793
FactorAnalysis,0.744016972,0.749212762,1,1,0.632987805,0.871924603,0.99743584,0.55615963,0.546852093,0.570188679,0.613658236,0.56802226,0.703654628,0.836656746,0.689625109,0.618819591,0.540318903,0.8372103,0.597866175,0.716195458,0.807619013,0.784390517,0.716029093,0.909219282,0.653763074,0.825372869,0.557675906,0.561418251,0.503903925,0.527735322,0.532669124,0.658773364,0.701974372,0.588207547,0.788373162,0.977125581,0.630392157,0.896447923,0.660471204,0.805592992,0.612568681,0.997857755,0.782859079,0.618822023,0.638888889,0.554111406,0.844675926,0.872767857,0.597470238,0.579133985,0.596657955,0.796628217,0.849591837,0.586848958,0.82283105,0.818509615,0.812432432,0.94973545,0.810705742,0.863636364,0.965198864,0.814814815,0.770955882,0.803904924,0.828515625,0.841765873,0.841269841,0.87426557,0.589721254,0.859627329,0.624634859,0.587537538,0.667701863,0.891603053,0.566989302,0.801097973,0.815924658,0.7875,0.848090278,0.56779192,0.694758479,0.80703125,0.566997519,0.753846154,0.7221875,0.989035088,0.96969697,0.716094033,0.782894737,0.701298701,0.739304953
KernelDensity,0.666297197,0.83052826,0.994453028,1,0.580579268,0.509821429,0.95566079,0.644997108,0.580174008,0.62418239,0.588366632,0.569520548,0.788395168,0.931597222,0.761246731,0.568422968,0.526743399,0.862532189,0.560458377,0.808610454,0.83048684,0.85686062,0.758304777,0.925796967,0.655184175,0.785866477,0.599360341,0.622293804,0.601238723,0.594985003,0.599807793,0.661109813,0.537920035,0.580660377,0.741498162,0.991003613,0.682633053,0.871763998,0.695484293,0.851145553,0.592857143,1,0.787940379,0.551472471,0.640594542,0.807374005,0.758564815,0.739831349,0.702827381,0.549908671,0.6746654,0.732741792,0.760816327,0.555338542,0.844748858,0.730769231,0.764054054,0.906525573,0.795454545,0.84375,0.754261364,0.782861293,0.780147059,0.900396152,0.837890625,0.896329365,0.90327381,0.902173913,0.5,0.854658385,0.662122687,0.541741742,0.686801242,0.899045802,0.631686195,0.778293919,0.791952055,0.786637931,0.801649306,0.614831212,0.638232271,0.9078125,0.614143921,0.788461538,0.88875,1,0.96969697,0.649186257,0.756578947,0.707792208,0.74181817
