AUC,Classifier,Distribution,RandomForestClassifier,SVC,GaussianNB,LinearDiscriminantAnalysis,MLPClassifier,DecisionTreeClassifier,LogisticRegression,AdaBoostClassifier
0.5704500030232473,RandomForestClassifier,"[2783, 2977, 5241]",0.5704500030232473,0.5,0.5384002828003209,0.5660170575370966,0.5269560213885083,0.5253465159859565,0.5432706199386124,0.5569006134451276
0.5687084635858032,RandomForestClassifier,"[3001, 3125, 5241]",0.5687084635858032,0.5,0.5494219654051024,0.5544883787799123,0.5248871109339489,0.541479942759707,0.5370787261219607,0.5496348109779066
0.5503522204703171,LinearDiscriminantAnalysis,"[962, 2511, 5241]",0.5477756516974546,0.5,0.5474903166993769,0.5503522204703171,0.5024116097389542,0.5329086044914563,0.5115584004116237,0.5453345826345147
0.5628888708312415,LinearDiscriminantAnalysis,"[818, 2630, 5241]",0.5572532510788092,0.5,0.5501795888643488,0.5628888708312415,0.5093538799163989,0.535557117062019,0.5179790486743203,0.5537147679165714
0.5698916394279732,RandomForestClassifier,"[841, 2700, 5241]",0.5698916394279732,0.5,0.5511837778371133,0.5646659542886763,0.5135659231524109,0.5351439134034482,0.5236882414757644,0.561403095320386
0.5782203051224546,RandomForestClassifier,"[2234, 3193, 5241]",0.5782203051224546,0.5,0.5460317650218651,0.5685640223976469,0.5255166889090618,0.5300412726566704,0.5395695639967629,0.5686429381190405
0.567328022420315,LinearDiscriminantAnalysis,"[981, 2944, 5241]",0.5624846125383144,0.5,0.5574240843143274,0.567328022420315,0.5211947225063669,0.5312873303020573,0.5305317664542646,0.5573583383888197
0.5778902885007116,RandomForestClassifier,"[2528, 2821, 5241]",0.5778902885007116,0.5,0.5328587739435562,0.5715258109643249,0.5341293450616171,0.5164000402535163,0.5435091726136841,0.5626884543383851
0.5466063618205685,GaussianNB,"[1183, 1887, 5241]",0.5292636344369851,0.5,0.5466063618205685,0.5357142504184009,0.5002348606203164,0.5316485145108977,0.5027771970234309,0.5319617855133524
0.5886935795828903,RandomForestClassifier,"[1830, 3371, 5241]",0.5886935795828903,0.5,0.5632157819325234,0.5787228357326482,0.5240016274787942,0.5236736381279066,0.5448800555791069,0.5697741625355786
0.5496393351481984,LinearDiscriminantAnalysis,"[1595, 2007, 5241]",0.5478823377882962,0.5,0.5403888936779401,0.5496393351481984,0.501091883721771,0.5360439273271611,0.5061479161362852,0.5484854080275351
0.57653022258525,RandomForestClassifier,"[1931, 2569, 5241]",0.57653022258525,0.5,0.5431222978615129,0.5640342591458671,0.5151420519022223,0.528042162368099,0.5220014426923936,0.56522360309866
0.5810987162136431,RandomForestClassifier,"[2151, 2687, 5241]",0.5810987162136431,0.5,0.539883671890082,0.5699921628867904,0.5168730736832792,0.5292374503086531,0.5427620238417952,0.5684774541628845
0.5390292776367834,GaussianNB,"[706, 1632, 5241]",0.5087415571414438,0.5,0.5390292776367834,0.5253585917783736,0.5,0.5263821710584546,0.5000319655446491,0.5275242209796518
