model,glass-0-4_vs_5,zoo-3,glass-0-6_vs_5,shuttle-c2-vs-c4,lymphography-normal-fibrosis,iris0,winequality-white-9_vs_4,glass-0-1-5_vs_2,cleveland-0_vs_4,glass-0-1-6_vs_5,glass-0-1-6_vs_2,ecoli-0-3-4_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-4-6_vs_5,ecoli-0-3-4-6_vs_5,glass-0-1-4-6_vs_2,glass-0-1-2-3_vs_4-5-6,glass0,glass1,glass2,glass4,glass5,glass6,new-thyroid1,new-thyroid2,ecoli-0-6-7_vs_5,ecoli-0_vs_1,ecoli-0-6-7_vs_3-5,ecoli-0-2-6-7_vs_3-5,shuttle-6_vs_2-3,ecoli-0-1_vs_5,ecoli-0-1_vs_2-3-5,poker-9_vs_7,ecoli-0-3-4-7_vs_5-6,ecoli-0-1-4-6_vs_5,ecoli-0-1-3-7_vs_2-6,habermanImb,ecoli-0-1-4-7_vs_5-6,ecoli-0-1-4-7_vs_2-3-5-6,ecoli1,ecoli2,ecoli3,ecoli4,dermatology-6,led7digit-0-2-4-5-6-7-8-9_vs_1,yeast-1_vs_7,page-blocks-1-3_vs_4,yeast-2_vs_8,abalone-3_vs_11,yeast-0-3-5-9_vs_7-8,yeast-2_vs_4,yeast-0-5-6-7-9_vs_4,abalone-21_vs_8,winequality-red-8_vs_6,wisconsinImb,winequality-red-3_vs_5,yeast-1-4-5-8_vs_7,abalone9-18,pimaImb,vehicle0,vehicle1,vehicle2,vehicle3,winequality-red-8_vs_6-7,winequality-white-3_vs_7,yeast-1-2-8-9_vs_7,vowel0,yeast-0-2-5-6_vs_3-7-8-9,yeast-0-2-5-7-9_vs_3-6-8,flare-F,kr-vs-k-zero_vs_eight,poker-8_vs_6,winequality-white-3-9_vs_5,yeast1,yeast3,yeast4,yeast5,yeast6,poker-8-9_vs_6,winequality-red-4,abalone-19_vs_10-11-12-13,car-good,car-vgood,shuttle-c0-vs-c4,abalone-20_vs_8-9-10,poker-8-9_vs_5,kr-vs-k-zero_vs_fifteen,kr-vs-k-one_vs_fifteen,segment0,abalone-17_vs_7-8-9-10,kr-vs-k-zero-one_vs_draw,kr-vs-k-three_vs_eleven,shuttle-2_vs_5,abalone19,page-blocks0,Average
GaussianMixture,0.592156862745098,0.8653061224489795,0.55005500550055,0.9742547425474255,0.9641203703703703,0.6347058823529411,0.6145454545454545,0.5421506182090671,0.8114909781576448,0.6425396825396825,0.5549579831932773,0.8549450549450549,0.8565217391304347,0.852972972972973,0.8510695187165775,0.6021671826625388,0.760308972073678,0.6561643835616437,0.5027255639097744,0.598876736624298,0.7123910572186434,0.6870638754696726,0.7363083164300203,0.83563579277865,0.83563579277865,0.8819306930693069,0.7787908294237409,0.8906390639063906,0.8832442067736186,0.8792792792792793,0.8835585585585586,0.850975975975976,0.9873949579831933,0.8126495726495726,0.8662213740458016,0.7883022774327122,0.6228313482351662,0.80957928802589,0.7854034147974556,0.5734189182465045,0.5725524475524475,0.6181989627534182,0.8122641509433962,0.846764705882353,0.5442170111287759,0.6441336441336443,0.8838084561178732,0.6432112068965516,0.9520109066121336,0.5022270742358079,0.850853889943074,0.6670350812558844,0.7520713030379111,0.71328125,0.976696624575492,0.9,0.5023057644110276,0.5056853421542278,0.5527888446215139,0.6212418022314965,0.6137284830603169,0.617707878258337,0.626809659428029,0.677989670242352,0.9218253968253969,0.6191875226695684,0.6670925925925926,0.6901428841891907,0.7618745336496163,0.8261032331253545,0.656678281068525,0.9986320109439124,0.8426045236463331,0.5140312226404942,0.5008694684417735,0.7116075698572112,0.8455743285840374,0.7444127202914246,0.9986320109439124,0.7021232509385208,0.5941818467336684,0.658639373871162,0.582148302148302,0.997312212278043,0.5596438445275654,0.5750877192982456,0.9964124641246412,0.9884745482070205,0.6662350076486501,0.586818882408051,0.9766329691276081,0.8573935747138361,0.9832751699639782,0.5132495777027027,0.6219176810792415,0.7383125189895042
IsolationForest,0.7045751633986929,0.7122448979591837,0.6853685368536854,0.9769647696476964,0.9849537037037037,0.547450980392157,0.5927272727272728,0.597227426002248,0.7986704653371319,0.7466666666666666,0.613109243697479,0.698076923076923,0.5921195652173913,0.5789189189189189,0.5909090909090909,0.5588235294117647,0.5612596553773025,0.5226027397260274,0.5481203007518797,0.5716819391073013,0.5073891625615764,0.7316156736446592,0.5799373040752351,0.6370486656200942,0.5499215070643642,0.630940594059406,0.5950252279366204,0.5231773177317731,0.5759803921568627,0.8274774774774775,0.7092342342342343,0.7090840840840841,0.7951680672268908,0.5247863247863248,0.5370229007633588,0.7080745341614907,0.643334964920868,0.5886084142394822,0.6229215489342708,0.574115539632781,0.5236686390532544,0.5156058462989156,0.539622641509434,0.7602941176470588,0.6035704822469528,0.6233100233100233,0.5878042921204355,0.6836206896551724,0.7288343558282209,0.6053711790393013,0.5591397849462365,0.5414875762413525,0.5082852121516445,0.5955729166666667,0.9741824117680169,0.6366032210834554,0.6276691729323309,0.5130418303356075,0.5025123387048819,0.5070886017142724,0.5294353925814486,0.5464540556283675,0.5820502551323128,0.6104489471593166,0.5016439909297052,0.6459920203119333,0.5424320987654321,0.5163431447885694,0.5216330894390431,0.8011684628474192,0.5842818428184282,0.6051339824575521,0.5792186429061,0.55048042465261,0.5065963672449211,0.5498667759786842,0.5286533854495019,0.529565816678153,0.7215595075239398,0.5120788845009995,0.5114733825376884,0.5862017817099878,0.612991452991453,0.9996378158388852,0.5788136282322329,0.5339961013645225,0.9993508268416017,0.9855473554735548,0.558854712473667,0.5300930822932093,0.7663637291943225,0.7330160459245427,0.7268777195797254,0.5565916083494209,0.5365021101116112,0.6270733631385104
OneClassSVM,0.5830065359477123,0.6367346938775509,0.5192519251925193,0.9728997289972899,0.9837962962962963,0.6588235294117648,0.5963636363636364,0.5515174222555265,0.8418803418803419,0.6711111111111111,0.6030252100840335,0.8398351648351648,0.8418478260869565,0.832972972972973,0.8283422459893048,0.6195046439628482,0.7462863933452168,0.6555772994129158,0.5049812030075188,0.6115873485072422,0.6945812807881774,0.6586151368760065,0.7296699243960907,0.8130298273155416,0.8131868131868132,0.8507425742574257,0.7658670443480571,0.8613861386138614,0.8562834224598931,0.8788288288288288,0.8578828828828828,0.8237612612612613,0.6281512605042017,0.7776068376068376,0.8486641221374046,0.7577639751552795,0.629738402131941,0.8176051779935275,0.7897556076330767,0.5904363835398319,0.5256858526089295,0.5688826025459689,0.8020440251572327,0.9110294117647059,0.7130034446210917,0.6646464646464647,0.8894138372837924,0.6201508620689655,0.9608725289706885,0.5046724890829695,0.8321315623023403,0.6285971591141676,0.7454180266131057,0.6670138888888888,0.9773064149952155,0.8919472913616399,0.5088220551378446,0.5031010957204878,0.5577540583932925,0.5991281523178295,0.5963688680829932,0.6200451434396388,0.6129479648748072,0.6030989272943982,0.8985260770975056,0.6097207109176641,0.6696172839506174,0.6920249908122014,0.7595580947289877,0.8273737946681792,0.5480449090205188,0.8954695421260159,0.8048800548320767,0.5096735494086487,0.5053999786690409,0.6945958871353419,0.8500661959399823,0.7377178300679335,0.8515458276333789,0.6040173565403929,0.6077065012562813,0.5331780226683769,0.5462139062139062,0.9982700940725703,0.5486257928118393,0.586569200779727,0.9990774907749077,0.9932112782666288,0.679712588741985,0.5649158330563027,0.6637462132815957,0.7174845246740671,0.9904420624168909,0.5356388754826255,0.6316928026904605,0.7168600192576735
