model,glass-0-4_vs_5,zoo-3,glass-0-6_vs_5,shuttle-c2-vs-c4,lymphography-normal-fibrosis,iris0,winequality-white-9_vs_4,glass-0-1-5_vs_2,cleveland-0_vs_4,glass-0-1-6_vs_5,glass-0-1-6_vs_2,ecoli-0-3-4_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-4-6_vs_5,ecoli-0-3-4-6_vs_5,glass-0-1-4-6_vs_2,glass-0-1-2-3_vs_4-5-6,glass0,glass1,glass2,glass4,glass5,glass6,new-thyroid1,new-thyroid2,ecoli-0-6-7_vs_5,ecoli-0_vs_1,ecoli-0-6-7_vs_3-5,ecoli-0-2-6-7_vs_3-5,shuttle-6_vs_2-3,ecoli-0-1_vs_5,ecoli-0-1_vs_2-3-5,poker-9_vs_7,ecoli-0-3-4-7_vs_5-6,ecoli-0-1-4-6_vs_5,ecoli-0-1-3-7_vs_2-6,habermanImb,ecoli-0-1-4-7_vs_5-6,ecoli-0-1-4-7_vs_2-3-5-6,ecoli1,ecoli2,ecoli3,ecoli4,dermatology-6,led7digit-0-2-4-5-6-7-8-9_vs_1,yeast-1_vs_7,page-blocks-1-3_vs_4,yeast-2_vs_8,abalone-3_vs_11,yeast-0-3-5-9_vs_7-8,yeast-2_vs_4,yeast-0-5-6-7-9_vs_4,abalone-21_vs_8,winequality-red-8_vs_6,wisconsinImb,winequality-red-3_vs_5,yeast-1-4-5-8_vs_7,abalone9-18,pimaImb,vehicle0,vehicle1,vehicle2,vehicle3,winequality-red-8_vs_6-7,winequality-white-3_vs_7,yeast-1-2-8-9_vs_7,vowel0,yeast-0-2-5-6_vs_3-7-8-9,yeast-0-2-5-7-9_vs_3-6-8,flare-F,kr-vs-k-zero_vs_eight,poker-8_vs_6,winequality-white-3-9_vs_5,yeast1,yeast3,yeast4,yeast5,yeast6,poker-8-9_vs_6,winequality-red-4,abalone-19_vs_10-11-12-13,car-good,car-vgood,shuttle-c0-vs-c4,abalone-20_vs_8-9-10,poker-8-9_vs_5,kr-vs-k-zero_vs_fifteen,kr-vs-k-one_vs_fifteen,segment0,abalone-17_vs_7-8-9-10,kr-vs-k-zero-one_vs_draw,kr-vs-k-three_vs_eleven,shuttle-2_vs_5,abalone19,page-blocks0,Average
GaussianMixture,0.6431372549019607,0.8653061224489795,0.6787678767876788,0.9742547425474255,0.9641203703703703,0.6290196078431373,0.7042424242424242,0.5016860247283628,0.8789173789173789,0.6577777777777778,0.5011764705882353,0.8815934065934066,0.883695652173913,0.8751351351351352,0.8700534759358289,0.5396284829721363,0.6112893642305406,0.5979452054794521,0.5356203007518797,0.528524977830328,0.59037514209928,0.5990338164251208,0.6627328047206343,0.830298273155416,0.830298273155416,0.878960396039604,0.7868460653270779,0.8886138613861386,0.8830213903743316,0.9331081081081081,0.9009009009009009,0.8699324324324325,0.9873949579831933,0.8052991452991453,0.8875954198473283,0.7851966873706004,0.6228313482351662,0.8410355987055016,0.8127441133802031,0.582524754938548,0.5747041420118344,0.6192362093352193,0.825314465408805,0.846764705882353,0.5442170111287759,0.6441336441336443,0.8938981422165279,0.6439655172413792,0.9715064758009543,0.5020960698689956,0.851191229179844,0.6644971140857179,0.7790610092894803,0.69921875,0.976696624575492,0.8749633967789165,0.5017543859649123,0.5007580456205637,0.5678851757150503,0.6185782533623433,0.6158829157142127,0.6228556866171546,0.627313990744037,0.6689180241027679,0.9314625850340137,0.6210736307580704,0.6669382716049383,0.6912231465704454,0.7632888977982694,0.8261032331253545,0.656678281068525,0.9986320109439124,0.8585606579849212,0.5140003484374345,0.500925114422047,0.7122771059643369,0.8462047661076787,0.7446293196810081,0.9986320109439124,0.7036224464921261,0.6011306532663316,0.5234798314268513,0.5702240702240702,0.997312212278043,0.5543177752480077,0.5750877192982456,0.9964124641246412,0.9884745482070205,0.6546277784852759,0.583275408746109,0.9766329691276081,0.8573935747138361,0.9864028817400315,0.502601652992278,0.611882685437773,0.7363111008333958
IsolationForest,0.5908496732026144,0.6387755102040816,0.7227722772277227,0.9769647696476964,0.9849537037037037,0.6403921568627451,0.576969696969697,0.5088047958036719,0.7122507122507122,0.7155555555555556,0.5909243697478992,0.5739010989010989,0.5809782608695653,0.7508108108108108,0.5133689839572193,0.5195046439628483,0.5763517528223411,0.5265166340508807,0.5179511278195488,0.5069464971918416,0.5267146646456992,0.5630703166935052,0.5011985985616818,0.6238618524332811,0.5599686028257457,0.5383663366336633,0.5510312472337788,0.6255625562556255,0.5075757575757576,0.75990990990991,0.5792792792792792,0.5161411411411412,0.6927521008403361,0.7095726495726495,0.7435114503816794,0.7453416149068323,0.6550823951705009,0.5681553398058252,0.5315254993862293,0.5188834154351396,0.5835798816568047,0.5519094766619519,0.5511006289308176,0.7092647058823529,0.6340421303656598,0.6224553224553224,0.5438420884048687,0.7248922413793104,0.6687116564417177,0.6474235807860262,0.5840185536580224,0.6016619591469156,0.5153150891287974,0.5877604166666667,0.9807024785635214,0.6932650073206442,0.5013533834586467,0.5442422989456275,0.5166572515906523,0.5544904801356552,0.532130259189203,0.5239697102082423,0.5237480716743799,0.561713680307244,0.7503401360544216,0.6874863982589772,0.5196049382716049,0.5179356965465014,0.5352644415488959,0.8038684061259217,0.6292424829010195,0.7156996861672166,0.5233447566826593,0.5522270224256979,0.5396547166924031,0.523303955728633,0.5183299709998739,0.5505562666141577,0.6093844049247605,0.5331041879966847,0.5322118404522613,0.610824629828373,0.6263063063063063,0.9996330502578179,0.5364591803545291,0.5512475633528264,0.9963953806204728,0.9907867347904248,0.5119171644298649,0.5148878781468161,0.7648490418326015,0.5590439879655567,0.7437274083692823,0.5356765805984557,0.5409751099642036,0.6181640782991454
OneClassSVM,0.7294117647058823,0.6489795918367347,0.9922992299229925,0.7642276422764228,0.9814814814814815,0.5856862745098038,0.6545454545454545,0.5181715998501312,0.8865147198480532,0.5244444444444445,0.7374789915966387,0.6195054945054945,0.5497282608695653,0.5064864864864864,0.5090909090909091,0.5888544891640868,0.5183600713012478,0.5215264187866928,0.5136278195488722,0.5530594147206621,0.6900341038272073,0.9533011272141706,0.7403651115618661,0.5266875981161695,0.5111459968602826,0.5410891089108911,0.5681154288749225,0.5652565256525652,0.5987076648841354,0.8220720720720721,0.625,0.6691066066066066,0.8004201680672269,0.599145299145299,0.6904580152671755,0.7960662525879917,0.6633491053461685,0.7372168284789644,0.7283785291820108,0.5170423446285516,0.5720817643894567,0.6234794908062236,0.6889937106918239,0.8472058823529411,0.6347708002119767,0.6465423465423465,0.9163196668802049,0.7092672413793103,0.976482617586912,0.5802620087336244,0.607674467636517,0.5150435957263908,0.7830780818478533,0.5996527777777778,0.9530649004634407,0.5777452415812592,0.5958395989974937,0.5525808007718283,0.5864675625854789,0.5256637579267679,0.5246737312582618,0.5305519149555846,0.5261807286104189,0.509932459276917,0.8363378684807257,0.5220166848023213,0.5237777777777777,0.6244584767186752,0.5976412415221677,0.7993533749290982,0.5626532455800748,0.9986320109439124,0.8068814256339959,0.6177178230158362,0.5149154412958094,0.5324861651977865,0.676979573824234,0.5220636014571232,0.9986320109439124,0.565696455560431,0.5572000628140704,0.5266602099311573,0.5680757680757681,0.994767391988105,0.5615140673280208,0.562729044834308,0.9833435834358343,0.9929510833569873,0.5257253942852234,0.6700187373447369,0.6089043194118248,0.6244899194245599,0.9696343511402725,0.5171030405405405,0.601490272012404,0.6609983580986825
