model,glass-0-4_vs_5,zoo-3,glass-0-6_vs_5,shuttle-c2-vs-c4,lymphography-normal-fibrosis,iris0,winequality-white-9_vs_4,glass-0-1-5_vs_2,cleveland-0_vs_4,glass-0-1-6_vs_5,glass-0-1-6_vs_2,ecoli-0-3-4_vs_5,ecoli-0-2-3-4_vs_5,ecoli-0-4-6_vs_5,ecoli-0-3-4-6_vs_5,glass-0-1-4-6_vs_2,glass-0-1-2-3_vs_4-5-6,glass0,glass1,glass2,glass4,glass5,glass6,new-thyroid1,new-thyroid2,ecoli-0-6-7_vs_5,ecoli-0_vs_1,ecoli-0-6-7_vs_3-5,ecoli-0-2-6-7_vs_3-5,shuttle-6_vs_2-3,ecoli-0-1_vs_5,ecoli-0-1_vs_2-3-5,poker-9_vs_7,ecoli-0-3-4-7_vs_5-6,ecoli-0-1-4-6_vs_5,ecoli-0-1-3-7_vs_2-6,habermanImb,ecoli-0-1-4-7_vs_5-6,ecoli-0-1-4-7_vs_2-3-5-6,ecoli1,ecoli2,ecoli3,ecoli4,dermatology-6,led7digit-0-2-4-5-6-7-8-9_vs_1,yeast-1_vs_7,page-blocks-1-3_vs_4,yeast-2_vs_8,abalone-3_vs_11,yeast-0-3-5-9_vs_7-8,yeast-2_vs_4,yeast-0-5-6-7-9_vs_4,abalone-21_vs_8,winequality-red-8_vs_6,wisconsinImb,winequality-red-3_vs_5,yeast-1-4-5-8_vs_7,abalone9-18,pimaImb,vehicle0,vehicle1,vehicle2,vehicle3,winequality-red-8_vs_6-7,winequality-white-3_vs_7,yeast-1-2-8-9_vs_7,vowel0,yeast-0-2-5-6_vs_3-7-8-9,yeast-0-2-5-7-9_vs_3-6-8,flare-F,kr-vs-k-zero_vs_eight,poker-8_vs_6,winequality-white-3-9_vs_5,yeast1,yeast3,yeast4,yeast5,yeast6,poker-8-9_vs_6,winequality-red-4,abalone-19_vs_10-11-12-13,car-good,car-vgood,shuttle-c0-vs-c4,abalone-20_vs_8-9-10,poker-8-9_vs_5,kr-vs-k-zero_vs_fifteen,kr-vs-k-one_vs_fifteen,segment0,abalone-17_vs_7-8-9-10,kr-vs-k-zero-one_vs_draw,kr-vs-k-three_vs_eleven,shuttle-2_vs_5,abalone19,page-blocks0,Average
GaussianMixture,0.6431372549019607,0.8653061224489795,0.6787678767876788,0.9742547425474255,0.9641203703703703,0.6290196078431373,0.7042424242424242,0.5016860247283628,0.8789173789173789,0.6577777777777778,0.5011764705882353,0.8815934065934066,0.883695652173913,0.8751351351351352,0.8700534759358289,0.5396284829721363,0.6112893642305406,0.5979452054794521,0.5356203007518797,0.528524977830328,0.59037514209928,0.5990338164251208,0.6627328047206343,0.830298273155416,0.830298273155416,0.878960396039604,0.7868460653270779,0.8886138613861386,0.8830213903743316,0.9331081081081081,0.9009009009009009,0.8699324324324325,0.9873949579831933,0.8052991452991453,0.8875954198473283,0.7851966873706004,0.6228313482351662,0.8410355987055016,0.8127441133802031,0.582524754938548,0.5747041420118344,0.6192362093352193,0.825314465408805,0.846764705882353,0.5442170111287759,0.6441336441336443,0.8938981422165279,0.6439655172413792,0.9715064758009543,0.5020960698689956,0.851191229179844,0.6644971140857179,0.7790610092894803,0.69921875,0.976696624575492,0.8749633967789165,0.5017543859649123,0.5007580456205637,0.5678851757150503,0.6185782533623433,0.6158829157142127,0.6228556866171546,0.627313990744037,0.6689180241027679,0.9314625850340137,0.6210736307580704,0.6669382716049383,0.6912231465704454,0.7632888977982694,0.8261032331253545,0.656678281068525,0.9986320109439124,0.8585606579849212,0.5140003484374345,0.500925114422047,0.7122771059643369,0.8462047661076787,0.7446293196810081,0.9986320109439124,0.7036224464921261,0.6011306532663316,0.5234798314268513,0.5702240702240702,0.997312212278043,0.5543177752480077,0.5750877192982456,0.9964124641246412,0.9884745482070205,0.6546277784852759,0.583275408746109,0.9766329691276081,0.8573935747138361,0.9864028817400315,0.502601652992278,0.611882685437773,0.7363111008333958
IsolationForest,0.7516339869281046,0.6673469387755102,0.6952695269526953,0.978319783197832,0.9791666666666667,0.5827450980392156,0.7793939393939393,0.5949793930310978,0.8760683760683761,0.7453968253968254,0.5926050420168067,0.5815934065934066,0.5948369565217392,0.7083783783783784,0.5045454545454545,0.5086687306501547,0.5087344028520497,0.5280821917808219,0.5317669172932331,0.5870529116169081,0.6002273588480485,0.7750939345142244,0.5644477226627328,0.7312401883830455,0.5411302982731554,0.7054455445544554,0.5521819952199698,0.6014851485148515,0.589572192513369,0.7292792792792793,0.6601351351351351,0.6692942942942943,0.6538865546218487,0.5191452991452992,0.5711832061068702,0.7453416149068324,0.6721052917822374,0.6229126213592233,0.504073206115389,0.5102751654475792,0.6013986013986015,0.5573785950023574,0.5772012578616352,0.7683823529411764,0.6019144144144144,0.61002331002331,0.5069266495836002,0.6242456896551725,0.6468984321745058,0.5816157205240174,0.5512123128821422,0.5126284334192968,0.5406728596535275,0.5050347222222222,0.9662926618759029,0.5745241581259151,0.550827067669173,0.564020398318517,0.5165160254504371,0.513399044529272,0.5171733843580886,0.5337192369302461,0.5172955974842768,0.6176665342338763,0.6045918367346939,0.5234312658686979,0.5338333333333334,0.5185036695510785,0.5054848373481229,0.7916165626772547,0.6565234223770808,0.6822241892653094,0.6180671692940369,0.5125999827986583,0.5450755626040463,0.5738607638177222,0.5236098852603707,0.5190509008565521,0.607140902872777,0.5723757983521037,0.5587409704773869,0.5496688741721855,0.6823746823746825,0.9996521125820871,0.6006159538136282,0.5284990253411306,0.9941574415744158,0.9932763269940392,0.5466260784443091,0.5981897307262233,0.5436808604785731,0.6398139502714666,0.6958440763885855,0.5354239563223938,0.5221639062633645,0.6226181733510009
OneClassSVM,0.7294117647058823,0.6489795918367347,0.9922992299229925,0.7642276422764228,0.9814814814814815,0.5856862745098038,0.6545454545454545,0.5181715998501312,0.8865147198480532,0.5244444444444445,0.7374789915966387,0.6195054945054945,0.5497282608695653,0.5064864864864864,0.5090909090909091,0.5888544891640868,0.5183600713012478,0.5215264187866928,0.5136278195488722,0.5530594147206621,0.6900341038272073,0.9533011272141706,0.7403651115618661,0.5266875981161695,0.5111459968602826,0.5410891089108911,0.5681154288749225,0.5652565256525652,0.5987076648841354,0.8220720720720721,0.625,0.6691066066066066,0.8004201680672269,0.599145299145299,0.6904580152671755,0.7960662525879917,0.6633491053461685,0.7372168284789644,0.7283785291820108,0.5170423446285516,0.5720817643894567,0.6234794908062236,0.6889937106918239,0.8472058823529411,0.6347708002119767,0.6465423465423465,0.9163196668802049,0.7092672413793103,0.976482617586912,0.5802620087336244,0.607674467636517,0.5150435957263908,0.7830780818478533,0.5996527777777778,0.9530649004634407,0.5777452415812592,0.5958395989974937,0.5525808007718283,0.5864675625854789,0.5256637579267679,0.5246737312582618,0.5305519149555846,0.5261807286104189,0.509932459276917,0.8363378684807257,0.5220166848023213,0.5237777777777777,0.6244584767186752,0.5976412415221677,0.7993533749290982,0.5626532455800748,0.9986320109439124,0.8068814256339959,0.6177178230158362,0.5149154412958094,0.5324861651977865,0.676979573824234,0.5220636014571232,0.9986320109439124,0.565696455560431,0.5572000628140704,0.5266602099311573,0.5680757680757681,0.994767391988105,0.5615140673280208,0.562729044834308,0.9833435834358343,0.9929510833569873,0.5257253942852234,0.6700187373447369,0.6089043194118248,0.6244899194245599,0.9696343511402725,0.5171030405405405,0.601490272012404,0.6609983580986825
